Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
5 Series,2012,North America,Silver,Hybrid,Manual,1.5,16003,58099,2788,Low
i8,2018,Africa,Blue,Petrol,Manual,4.7,147551,99263,4447,Low
i3,2015,North America,Grey,Hybrid,Manual,1.6,6810,36118,8103,High
M3,2016,Asia,Blue,Diesel,Automatic,3.7,191832,63790,2961,Low
i3,2021,North America,Grey,Electric,Manual,3.6,107846,99863,2325,Low
X5,2019,Europe,Red,Electric,Automatic,3.5,90973,34619,3933,Low
X3,2011,North America,Silver,Petrol,Automatic,3.2,90454,65067,2947,Low
X3,2020,Middle East,Black,Electric,Manual,4.5,185464,44692,3944,Low
X5,2019,Middle East,Silver,Hybrid,Manual,3.8,45752,87294,1824,Low
3 Series,2023,Middle East,Silver,Hybrid,Automatic,4.2,75232,47796,5095,Low
X3,2015,Middle East,Grey,Petrol,Manual,1.9,169553,49976,3152,Low
i3,2015,Africa,White,Diesel,Automatic,1.7,183578,99910,7566,High
X1,2011,Europe,White,Diesel,Automatic,1.6,61133,79542,6675,Low
X1,2011,Asia,Blue,Hybrid,Manual,2,12839,117505,3140,Low
X6,2023,Asia,Grey,Electric,Manual,3.8,100766,106980,290,Low
X1,2011,Africa,White,Electric,Automatic,3.2,188137,117606,4075,Low
X3,2019,Asia,White,Diesel,Automatic,4.1,100615,80642,3672,Low
M3,2021,Africa,Blue,Diesel,Manual,2.2,20092,73007,6916,Low
M5,2010,North America,Blue,Electric,Manual,2.8,962,72750,7125,High
3 Series,2014,Asia,Silver,Petrol,Manual,4.6,162,63693,2807,Low
5 Series,2017,Africa,Red,Petrol,Manual,4.8,14181,114333,5445,Low
i3,2011,North America,Red,Petrol,Automatic,4.7,131402,30946,3244,Low
i3,2022,North America,Silver,Diesel,Automatic,4.4,42739,95874,8563,High
X6,2024,North America,Grey,Electric,Automatic,3.9,187498,38532,2390,Low
M3,2014,Middle East,White,Petrol,Automatic,4.7,174195,55224,1883,Low
M3,2021,Asia,Black,Petrol,Manual,4,192353,103374,5165,Low
i3,2017,Middle East,Black,Petrol,Automatic,4.8,10838,117133,4567,Low
i3,2019,Europe,Black,Petrol,Manual,1.6,144068,32394,7935,High
M3,2023,Europe,Silver,Petrol,Automatic,4.7,140196,89476,6933,Low
M3,2014,Middle East,Black,Diesel,Automatic,3.4,54541,82956,942,Low
i8,2011,Europe,Blue,Diesel,Manual,1.9,167366,69091,190,Low
M3,2012,Asia,Silver,Electric,Automatic,2.3,70260,60562,5209,Low
i3,2024,North America,Silver,Electric,Automatic,4.5,72800,36585,923,Low
X5,2015,Europe,Grey,Hybrid,Manual,3.3,42751,71680,9273,High
i8,2020,Asia,Blue,Hybrid,Automatic,4.9,43009,80548,765,Low
7 Series,2020,North America,White,Petrol,Automatic,1.9,149677,112448,2177,Low
i3,2014,Asia,Grey,Hybrid,Manual,2.9,67588,111459,1937,Low
X6,2020,Europe,White,Electric,Automatic,2.7,57900,115990,9050,High
5 Series,2013,Asia,Black,Electric,Manual,3.3,76518,45902,6968,Low
7 Series,2013,South America,Silver,Hybrid,Automatic,3.7,9212,92396,849,Low
X3,2014,Europe,Red,Diesel,Manual,3.8,24379,51623,8623,High
M5,2011,Middle East,White,Diesel,Manual,1.5,57723,34856,9522,High
X6,2018,South America,White,Hybrid,Manual,1.8,188969,95068,7989,High
X6,2011,North America,Silver,Diesel,Automatic,1.6,18817,78895,4544,Low
M3,2019,South America,Red,Electric,Automatic,4.5,172503,60313,9981,High
5 Series,2011,North America,Black,Petrol,Manual,2.6,139868,68461,3577,Low
i3,2019,South America,Red,Petrol,Automatic,2.8,82644,112021,4734,Low
3 Series,2023,Europe,White,Diesel,Manual,3.1,91541,104299,1376,Low
X5,2018,North America,Silver,Hybrid,Automatic,4.5,94546,33306,3488,Low
i8,2023,North America,Blue,Petrol,Manual,1.5,114555,46258,4597,Low
3 Series,2012,Europe,Grey,Petrol,Automatic,1.9,43660,63066,1004,Low
X6,2024,Europe,Grey,Diesel,Manual,3.9,178365,41193,2184,Low
i3,2019,Asia,Black,Petrol,Manual,4.9,16293,114360,8309,High
i8,2016,South America,Grey,Diesel,Manual,3.7,9599,91024,1110,Low
X5,2013,South America,Red,Diesel,Manual,2.4,199864,77074,4481,Low
X6,2022,South America,Blue,Electric,Manual,3.3,92448,114438,1649,Low
X5,2022,Asia,White,Electric,Automatic,4.9,132350,60440,7477,High
X5,2015,Africa,Silver,Electric,Manual,3.3,198967,66074,1412,Low
X3,2023,Asia,Red,Petrol,Automatic,2.8,185046,78954,1685,Low
i8,2013,South America,Black,Hybrid,Manual,2.8,194474,38596,6131,Low
5 Series,2019,Africa,Red,Electric,Manual,4.9,134203,87066,2282,Low
i8,2024,Europe,Blue,Hybrid,Manual,4,11415,69676,4322,Low
X3,2016,Africa,White,Petrol,Manual,3.9,89156,108691,8478,High
3 Series,2010,Europe,Grey,Diesel,Automatic,2.3,111032,31602,5706,Low
X5,2012,Africa,Silver,Petrol,Manual,3.5,63660,99573,7782,High
X3,2022,North America,White,Electric,Automatic,2.7,161420,92755,3613,Low
X5,2012,Asia,Black,Petrol,Manual,2.3,153759,54938,8086,High
X6,2010,South America,Red,Hybrid,Automatic,4.6,116406,96797,8729,High
X3,2015,South America,Blue,Diesel,Automatic,2.8,158569,69532,2340,Low
X1,2024,Middle East,Silver,Hybrid,Automatic,2.5,118400,110638,3728,Low
i3,2022,Africa,Silver,Electric,Manual,4.8,25918,104913,260,Low
X1,2020,Middle East,White,Diesel,Automatic,2.2,61100,55989,6603,Low
X5,2023,North America,White,Electric,Manual,4.1,95317,43226,864,Low
M5,2018,Asia,Grey,Electric,Automatic,3.8,35524,101554,3995,Low
5 Series,2017,Africa,Silver,Diesel,Manual,4.7,197162,48562,7678,High
X3,2020,Middle East,Blue,Hybrid,Manual,4.4,186324,117203,4648,Low
5 Series,2016,North America,Silver,Diesel,Automatic,4,132218,70243,1043,Low
X5,2019,North America,Red,Electric,Automatic,2.6,197643,95874,9728,High
X1,2017,Middle East,Blue,Hybrid,Automatic,3.2,156635,117247,7487,High
i8,2015,North America,Silver,Hybrid,Manual,4.8,182986,114169,3374,Low
i8,2018,North America,Silver,Petrol,Automatic,1.6,177294,103376,3457,Low
X3,2012,South America,Black,Petrol,Automatic,4.3,184444,75184,1211,Low
X6,2024,Africa,Red,Diesel,Automatic,2.4,168229,38519,4888,Low
X1,2019,Asia,Silver,Petrol,Manual,2.1,63805,99025,3389,Low
3 Series,2019,Europe,Red,Hybrid,Automatic,2.3,90402,118740,2469,Low
M3,2018,North America,White,Hybrid,Manual,1.7,120047,81338,858,Low
X1,2013,Asia,Red,Diesel,Automatic,5,12396,63276,6373,Low
i8,2016,Middle East,Red,Petrol,Manual,4.5,37135,85562,5341,Low
7 Series,2024,Europe,Grey,Electric,Manual,3.3,148452,87831,3178,Low
X5,2022,Middle East,White,Hybrid,Automatic,4,5823,67745,926,Low
X6,2018,Middle East,Blue,Hybrid,Manual,3.4,83167,44755,2865,Low
X6,2011,Asia,Blue,Diesel,Manual,4.3,181311,103779,6698,Low
i3,2011,South America,Grey,Petrol,Manual,4.5,76729,91036,1799,Low
3 Series,2018,North America,White,Hybrid,Manual,2.3,145658,111084,9238,High
i3,2021,Europe,Black,Petrol,Manual,3.1,133711,53651,4163,Low
M5,2022,Asia,Grey,Petrol,Manual,3.7,54112,34846,9583,High
M3,2012,Middle East,Silver,Electric,Automatic,4.9,180903,102499,6750,Low
M3,2018,Asia,Black,Hybrid,Automatic,3.9,28051,115091,2406,Low
7 Series,2022,Middle East,Grey,Diesel,Manual,4.6,123556,81932,1207,Low
7 Series,2024,Middle East,Red,Hybrid,Manual,4.5,81439,110997,7340,High
i8,2014,Middle East,Black,Electric,Manual,3.5,35401,78163,3279,Low
7 Series,2015,Africa,Blue,Diesel,Manual,4.6,131471,65636,6053,Low
X1,2011,South America,Red,Hybrid,Manual,2.8,176004,59187,3004,Low
i8,2017,Asia,Red,Diesel,Manual,2.8,196479,119761,335,Low
X6,2020,Europe,White,Diesel,Automatic,4.2,91923,45018,1948,Low
i3,2018,South America,Blue,Hybrid,Manual,2,184375,37993,8998,High
i8,2011,Middle East,Black,Hybrid,Manual,2.6,25898,31716,4648,Low
5 Series,2015,Africa,Silver,Petrol,Automatic,3.6,171902,116612,2228,Low
i8,2015,Middle East,Black,Petrol,Automatic,3,131061,99821,3003,Low
i3,2017,Europe,White,Electric,Automatic,4.8,122938,115849,1174,Low
X1,2019,Asia,Silver,Diesel,Manual,4.9,73811,90735,3818,Low
X6,2021,Europe,Red,Hybrid,Manual,3.3,199564,108217,6258,Low
X6,2014,Europe,Grey,Petrol,Manual,3.4,55698,36328,880,Low
i3,2018,South America,White,Petrol,Manual,4,40043,82682,2926,Low
X6,2010,Asia,Blue,Hybrid,Automatic,3.1,82929,77168,9251,High
5 Series,2018,Middle East,Grey,Electric,Automatic,2.2,158670,83209,2027,Low
X6,2019,Asia,Grey,Diesel,Automatic,4.1,80677,113469,388,Low
5 Series,2016,North America,Grey,Electric,Manual,4.1,48794,91415,1534,Low
X1,2013,Africa,Red,Hybrid,Automatic,2.4,73065,95643,9747,High
7 Series,2012,Asia,Silver,Diesel,Automatic,4.4,29648,36402,1671,Low
7 Series,2023,Asia,Blue,Electric,Manual,3.6,152521,51460,9592,High
M3,2019,South America,Silver,Diesel,Automatic,2.3,199971,106201,6739,Low
M3,2024,Europe,Red,Hybrid,Manual,3.8,97895,31713,3911,Low
M3,2020,South America,Grey,Diesel,Manual,2.3,152114,40215,4853,Low
X1,2023,Africa,White,Electric,Manual,2.4,23409,71423,9585,High
7 Series,2015,Africa,Silver,Petrol,Manual,4.5,67610,83566,8637,High
X6,2021,South America,Red,Electric,Automatic,4.8,9525,44977,7881,High
3 Series,2022,Asia,Blue,Hybrid,Manual,2.4,37787,113014,5059,Low
X3,2010,South America,Blue,Electric,Automatic,4.7,45894,85939,3282,Low
X3,2012,Africa,Grey,Electric,Manual,2.3,118535,75371,7768,High
X6,2011,Middle East,Red,Diesel,Manual,1.9,44046,80981,4263,Low
3 Series,2020,Europe,Black,Diesel,Automatic,1.7,10216,62999,2284,Low
i8,2022,South America,Blue,Electric,Automatic,2.3,132380,44727,7788,High
i8,2018,Africa,Red,Electric,Manual,2.8,66278,77928,5780,Low
X6,2012,North America,Red,Hybrid,Manual,4.7,30920,59491,2325,Low
5 Series,2022,Middle East,Red,Electric,Automatic,2.3,182163,107154,5333,Low
i3,2011,Middle East,Silver,Hybrid,Automatic,2.8,158912,56697,4350,Low
X6,2013,Europe,Silver,Petrol,Manual,4.1,151046,105131,3500,Low
X5,2024,North America,Red,Diesel,Automatic,2.6,64673,33821,2432,Low
X1,2023,North America,Silver,Petrol,Manual,3.9,10237,84973,6597,Low
3 Series,2011,Asia,Black,Hybrid,Automatic,3,13103,32124,656,Low
M5,2010,Africa,Silver,Electric,Automatic,2.2,48024,92864,309,Low
M5,2015,Asia,Grey,Diesel,Automatic,4.1,112487,86635,4884,Low
M5,2024,South America,Black,Electric,Automatic,1.6,81704,69442,4852,Low
X5,2019,Europe,White,Diesel,Automatic,2.5,34893,46946,2594,Low
M3,2017,North America,Grey,Petrol,Manual,2.7,182666,78922,7467,High
X3,2019,Asia,Grey,Petrol,Automatic,3.1,30475,60794,142,Low
X3,2019,South America,Red,Hybrid,Manual,3.9,108242,58302,4053,Low
3 Series,2011,Africa,Grey,Petrol,Automatic,3.1,162473,73523,1750,Low
5 Series,2023,Europe,Red,Petrol,Automatic,3.6,129243,108354,6435,Low
X1,2018,Europe,Black,Hybrid,Manual,3.6,7220,93741,4156,Low
3 Series,2024,Middle East,White,Electric,Manual,2.8,159644,38511,9350,High
X3,2022,Europe,Black,Petrol,Manual,4.8,133676,109516,5432,Low
X3,2012,Europe,Red,Hybrid,Manual,4.8,181346,114868,4080,Low
3 Series,2017,South America,Grey,Hybrid,Automatic,3.5,27670,116299,9995,High
i8,2021,Middle East,Grey,Petrol,Manual,1.8,72635,52687,1716,Low
X5,2017,Africa,Silver,Electric,Manual,3.2,9295,115864,1680,Low
M5,2024,Asia,White,Petrol,Automatic,2.1,160484,94524,6789,Low
X6,2012,Middle East,Grey,Diesel,Manual,3.2,68155,66890,368,Low
X6,2012,Middle East,Blue,Diesel,Manual,2.2,160788,99046,242,Low
7 Series,2021,Middle East,Grey,Diesel,Manual,4,175674,56257,6197,Low
3 Series,2024,Asia,Silver,Petrol,Automatic,1.8,113831,105613,4078,Low
i8,2015,South America,Black,Petrol,Automatic,4.8,12516,80080,3215,Low
5 Series,2010,Africa,Silver,Electric,Manual,2.2,30616,78877,9575,High
3 Series,2013,Europe,Grey,Diesel,Automatic,3.8,125967,118873,7812,High
5 Series,2010,Africa,Black,Hybrid,Automatic,4.7,125912,107024,3730,Low
M5,2023,Middle East,Black,Diesel,Manual,2.4,139074,42848,5723,Low
i8,2012,North America,White,Petrol,Manual,4.8,154818,82689,2370,Low
X1,2018,Middle East,Black,Electric,Automatic,2.9,74282,106989,4283,Low
X5,2023,Europe,Red,Electric,Automatic,4.9,163763,66564,4395,Low
X1,2023,North America,Red,Hybrid,Automatic,4.9,163902,45356,9624,High
X3,2014,South America,Red,Petrol,Automatic,2.2,107883,91548,2756,Low
X6,2021,Europe,White,Petrol,Manual,4.4,44568,81052,8564,High
M3,2014,Africa,Silver,Diesel,Automatic,2.2,5413,104513,3493,Low
7 Series,2020,Europe,Black,Electric,Automatic,2.3,51892,45519,2304,Low
5 Series,2013,South America,Blue,Petrol,Automatic,1.8,132831,105685,9384,High
7 Series,2012,Europe,Silver,Hybrid,Manual,2,33372,93968,6987,Low
5 Series,2014,North America,Blue,Hybrid,Manual,3.7,52168,42859,7512,High
M5,2024,Africa,Blue,Hybrid,Manual,3.1,22921,39807,9239,High
M3,2023,Africa,White,Electric,Manual,4.3,51638,102695,1104,Low
M5,2020,North America,Grey,Diesel,Automatic,2.7,24461,90520,3317,Low
M3,2013,Africa,Grey,Petrol,Automatic,4.9,185852,36298,8878,High
X3,2017,Africa,Black,Hybrid,Automatic,1.7,112110,92364,9215,High
i3,2013,Asia,Blue,Hybrid,Manual,1.7,102758,114997,3965,Low
X1,2020,Africa,Grey,Diesel,Automatic,4,10052,56473,3095,Low
i8,2021,Middle East,Silver,Diesel,Automatic,4.6,70470,112946,6947,Low
X6,2017,South America,Black,Hybrid,Automatic,4.3,131431,89510,8671,High
3 Series,2015,Asia,Silver,Diesel,Automatic,3.2,192309,78486,9465,High
5 Series,2024,Middle East,Red,Diesel,Manual,2.4,168759,73782,9167,High
i3,2023,South America,Black,Petrol,Manual,1.5,63118,117879,2344,Low
i3,2021,Africa,Red,Diesel,Manual,3.3,42365,66313,6801,Low
i8,2020,Middle East,Silver,Electric,Manual,3.2,178387,64206,6097,Low
X3,2014,Middle East,White,Diesel,Automatic,2.7,20200,53205,4293,Low
5 Series,2013,Middle East,Grey,Hybrid,Manual,3.5,153236,49232,9104,High
7 Series,2013,Africa,Blue,Diesel,Manual,4.1,182090,42752,3281,Low
X1,2021,North America,Red,Electric,Automatic,4,112280,52824,6872,Low
5 Series,2013,North America,Blue,Electric,Automatic,2.4,162625,79911,9047,High
X3,2020,Africa,Grey,Hybrid,Manual,3.5,44762,35284,7838,High
7 Series,2022,Middle East,Red,Diesel,Automatic,2,94814,88836,6790,Low
5 Series,2022,Europe,Blue,Petrol,Automatic,1.9,120943,32651,1329,Low
M3,2018,Africa,White,Petrol,Automatic,4.3,12181,45203,9376,High
M3,2013,South America,Blue,Electric,Manual,3.9,13674,94866,7881,High
i3,2021,Middle East,Grey,Diesel,Manual,4.2,80580,112999,9196,High
3 Series,2018,Asia,Red,Petrol,Automatic,2,184743,76920,7240,High
X1,2022,North America,Blue,Petrol,Automatic,4.7,40495,113829,783,Low
i3,2019,Asia,Red,Hybrid,Automatic,2,84645,53945,4239,Low
3 Series,2015,Europe,Red,Hybrid,Automatic,4.5,115014,90148,6689,Low
X3,2019,Middle East,Silver,Hybrid,Manual,2.7,172568,69580,8082,High
5 Series,2022,Europe,White,Petrol,Automatic,1.9,25154,39462,8606,High
X3,2016,Asia,White,Diesel,Automatic,2.5,46168,95397,6404,Low
X3,2021,Africa,Red,Diesel,Manual,2.1,53241,92127,2723,Low
X6,2019,South America,Blue,Petrol,Automatic,3.2,127070,98933,6724,Low
X6,2012,Asia,Grey,Hybrid,Automatic,4.8,5997,50821,9342,High
M3,2017,Asia,Red,Petrol,Manual,2.6,97584,83366,370,Low
X1,2012,South America,Blue,Petrol,Manual,3.6,42409,43258,1793,Low
X3,2010,North America,Grey,Petrol,Automatic,4.6,127283,64363,422,Low
5 Series,2022,Africa,Grey,Petrol,Automatic,3.7,172351,87629,2757,Low
i8,2022,Europe,Black,Electric,Manual,2.8,46194,66527,1889,Low
7 Series,2019,North America,Black,Diesel,Manual,5,154332,72467,732,Low
7 Series,2021,South America,White,Hybrid,Automatic,2.2,38603,105270,115,Low
i8,2014,Europe,Silver,Electric,Manual,3.3,184749,111612,6588,Low
3 Series,2011,Asia,White,Diesel,Automatic,4.3,99370,85886,1902,Low
i3,2019,Africa,Silver,Electric,Manual,1.5,74558,103795,3132,Low
X3,2023,Middle East,Grey,Electric,Automatic,4,192896,112594,806,Low
3 Series,2015,Africa,Black,Electric,Automatic,2.4,116377,70305,8413,High
M5,2022,North America,Silver,Hybrid,Automatic,2.1,60414,47732,4855,Low
X5,2019,South America,Silver,Hybrid,Automatic,2.5,172120,56615,1874,Low
7 Series,2018,South America,Grey,Electric,Automatic,4.9,108163,82732,5035,Low
M5,2010,South America,White,Diesel,Automatic,4.6,159569,70268,8273,High
X1,2023,Middle East,White,Electric,Automatic,2.2,161851,115856,9482,High
7 Series,2022,Asia,Grey,Diesel,Manual,1.9,193834,48259,3930,Low
M5,2013,Middle East,White,Petrol,Manual,2.8,99590,72482,1816,Low
X6,2024,Asia,Black,Diesel,Automatic,3.6,133509,63518,8875,High
7 Series,2010,Asia,White,Diesel,Manual,4.5,133033,32887,779,Low
M3,2010,Asia,Silver,Hybrid,Automatic,4.9,53675,51264,7451,High
7 Series,2017,Africa,White,Hybrid,Manual,4.1,89484,31982,6942,Low
M3,2023,Europe,Red,Diesel,Automatic,3.6,95948,98287,5676,Low
M3,2023,Africa,Silver,Petrol,Manual,2,87580,96526,7468,High
i3,2022,South America,Red,Diesel,Manual,1.8,111221,90149,5270,Low
i3,2023,Europe,White,Hybrid,Automatic,3.6,11772,56810,8895,High
7 Series,2020,North America,Grey,Diesel,Manual,3.4,132069,44937,5878,Low
X6,2024,North America,Red,Diesel,Automatic,4.5,89711,49206,7571,High
X3,2011,Africa,Black,Petrol,Automatic,2.6,31185,62214,8447,High
X6,2010,South America,Red,Hybrid,Manual,1.6,65491,53704,8733,High
i8,2020,Africa,Grey,Hybrid,Automatic,3,168334,45950,5743,Low
7 Series,2017,Europe,Grey,Diesel,Manual,4.9,146875,107539,8290,High
X3,2013,Middle East,Silver,Petrol,Automatic,4.3,176840,44567,2209,Low
i3,2012,Africa,Blue,Hybrid,Manual,1.6,173995,113221,5234,Low
i8,2022,Middle East,Silver,Petrol,Automatic,4.6,129517,44090,2022,Low
i8,2021,North America,White,Hybrid,Automatic,3.2,77690,34220,9451,High
X3,2013,Africa,Silver,Diesel,Automatic,2.8,176490,93603,7641,High
i8,2023,Middle East,Black,Hybrid,Manual,2.7,126592,46503,2662,Low
3 Series,2020,South America,Silver,Diesel,Automatic,3.6,47655,87176,7809,High
X3,2014,North America,White,Hybrid,Automatic,3.4,141172,34503,6724,Low
X5,2010,Asia,Red,Hybrid,Manual,3.8,33352,88757,9607,High
7 Series,2024,Africa,Silver,Diesel,Automatic,3.5,5141,115134,4614,Low
X1,2023,Africa,Blue,Diesel,Automatic,2,189730,58595,7475,High
i8,2020,Europe,White,Petrol,Automatic,2.4,117280,43005,7853,High
i8,2010,Europe,Black,Hybrid,Manual,4.4,86537,94088,1551,Low
i8,2012,Europe,Blue,Electric,Manual,3.8,77500,87220,8164,High
M5,2015,Europe,Red,Diesel,Manual,3.1,132730,75432,3715,Low
X3,2010,Asia,Silver,Hybrid,Manual,2.1,72594,65680,1291,Low
X3,2023,South America,Grey,Electric,Automatic,1.5,37059,63716,5865,Low
X1,2020,Europe,White,Electric,Manual,2.6,176978,83487,4648,Low
3 Series,2021,North America,Blue,Hybrid,Automatic,1.7,132747,110532,9292,High
M3,2024,Asia,White,Petrol,Automatic,3.2,19871,108174,325,Low
X5,2011,North America,Black,Petrol,Manual,4.4,57114,66362,9801,High
X6,2024,South America,White,Electric,Automatic,2.5,62904,110544,6403,Low
7 Series,2021,North America,Black,Hybrid,Automatic,4.5,110901,76840,2145,Low
i8,2023,North America,Grey,Diesel,Automatic,4,20420,89980,5700,Low
7 Series,2016,Middle East,Black,Electric,Manual,1.9,170322,84493,3102,Low
3 Series,2023,North America,Blue,Electric,Manual,3.8,77938,119448,2139,Low
M3,2023,North America,Black,Petrol,Manual,2,52211,70416,3084,Low
X1,2010,Middle East,Grey,Petrol,Automatic,3.8,193908,110406,7388,High
i3,2022,Asia,Red,Diesel,Manual,2,52742,59449,6966,Low
X6,2023,Africa,Red,Hybrid,Manual,2.9,124237,49717,7346,High
i8,2024,Europe,Blue,Diesel,Automatic,3.5,73416,104977,3821,Low
i8,2016,Europe,Red,Petrol,Automatic,1.7,82980,91989,141,Low
7 Series,2024,Asia,Black,Hybrid,Automatic,2,165169,87949,8246,High
5 Series,2013,North America,Blue,Hybrid,Automatic,2.6,174460,111248,6216,Low
X6,2019,Asia,White,Electric,Manual,3.1,144264,75421,5413,Low
3 Series,2023,Asia,Red,Petrol,Automatic,4.5,99716,77359,558,Low
i8,2015,Europe,Blue,Electric,Automatic,2.2,152111,77508,4941,Low
i8,2023,Asia,Blue,Diesel,Automatic,2.7,164104,61359,6424,Low
i8,2017,Asia,Black,Hybrid,Manual,3.2,51891,53913,4648,Low
i8,2018,Middle East,White,Electric,Manual,2.5,112669,39137,7366,High
X6,2015,Africa,White,Electric,Manual,3.7,109755,73141,1022,Low
X1,2021,North America,Black,Electric,Manual,2.4,173314,59342,4609,Low
7 Series,2020,Europe,Blue,Diesel,Manual,4.2,59059,97784,3046,Low
M5,2022,North America,Blue,Diesel,Automatic,3.3,42651,86128,8009,High
X6,2024,Europe,Silver,Electric,Manual,1.8,49994,42005,4951,Low
7 Series,2023,South America,Black,Electric,Manual,3.7,189648,57724,3067,Low
i8,2018,Asia,Grey,Hybrid,Automatic,3.5,134225,94058,9576,High
7 Series,2013,Asia,White,Electric,Manual,2.7,144882,80781,8816,High
X6,2015,Asia,Grey,Petrol,Manual,1.5,664,49540,6542,Low
5 Series,2017,Middle East,Black,Electric,Automatic,2.2,179560,106794,9146,High
i3,2018,North America,Grey,Petrol,Automatic,2.9,80141,55544,783,Low
X1,2012,South America,Blue,Electric,Automatic,2.2,197076,109596,9457,High
X1,2011,Middle East,Blue,Electric,Automatic,3.5,69898,92285,7539,High
X1,2015,Asia,Red,Diesel,Automatic,4,169646,51087,6410,Low
X5,2013,South America,Grey,Petrol,Automatic,4.5,112922,76499,9741,High
i8,2010,North America,Grey,Electric,Automatic,3.8,26627,69451,755,Low
X6,2017,South America,Grey,Diesel,Manual,3.9,52146,107647,617,Low
i8,2018,Asia,Grey,Diesel,Automatic,3.6,43624,97275,1132,Low
7 Series,2023,Middle East,Red,Hybrid,Manual,4.9,194849,33359,3199,Low
X1,2018,South America,Black,Petrol,Manual,2.4,118183,98275,2085,Low
5 Series,2011,North America,Grey,Petrol,Automatic,2.4,110662,86080,5856,Low
M5,2018,Asia,Red,Petrol,Automatic,1.9,75025,30009,7886,High
X6,2016,Middle East,Grey,Electric,Automatic,3.2,79355,71457,2526,Low
X6,2014,South America,White,Hybrid,Automatic,1.8,32721,34266,3275,Low
3 Series,2016,North America,White,Diesel,Automatic,2.4,56462,82279,1534,Low
M5,2022,South America,Silver,Diesel,Manual,3.2,169546,46348,7986,High
i8,2018,Asia,Red,Diesel,Manual,4.9,120971,52905,8204,High
X1,2017,Africa,Silver,Diesel,Automatic,4.9,56098,77678,4697,Low
3 Series,2015,Asia,Blue,Hybrid,Automatic,4.1,25123,119898,5717,Low
7 Series,2022,North America,Blue,Hybrid,Manual,2.9,197364,89911,6416,Low
3 Series,2013,Africa,Blue,Electric,Manual,4.5,70897,86748,3440,Low
M3,2022,Africa,Grey,Petrol,Manual,4.6,121227,119429,3942,Low
i8,2024,Middle East,Silver,Diesel,Manual,4.7,136335,67344,8148,High
7 Series,2010,North America,White,Diesel,Automatic,3.7,127995,37751,8558,High
i3,2015,South America,Silver,Electric,Manual,2.2,94379,73654,2166,Low
M3,2012,North America,Red,Electric,Manual,1.8,165163,82958,1113,Low
i3,2015,Middle East,Blue,Hybrid,Manual,4.7,58275,86561,7854,High
M3,2015,Africa,Grey,Diesel,Manual,1.7,116154,40340,2481,Low
7 Series,2023,Africa,White,Petrol,Manual,2.5,66973,60647,554,Low
M5,2013,Asia,Black,Diesel,Manual,3.2,56335,43627,1091,Low
7 Series,2011,South America,Red,Diesel,Manual,1.6,184143,77234,1235,Low
i8,2024,South America,Black,Petrol,Manual,4.7,105072,77963,9857,High
i8,2018,South America,White,Petrol,Automatic,2.5,49747,95522,6607,Low
3 Series,2011,Middle East,Blue,Hybrid,Manual,1.6,78856,82565,2003,Low
3 Series,2012,Europe,Grey,Hybrid,Manual,5,163964,87973,8868,High
7 Series,2019,South America,Blue,Petrol,Manual,2.6,28717,48427,5098,Low
i8,2010,Africa,Silver,Petrol,Automatic,4.6,111492,32948,4199,Low
i3,2016,Middle East,White,Petrol,Automatic,3.1,5854,53648,2712,Low
7 Series,2024,Europe,Red,Hybrid,Manual,3.8,107733,70852,7631,High
i8,2010,Africa,Black,Electric,Manual,2.3,13121,87018,431,Low
M3,2020,Europe,Red,Diesel,Manual,3.3,633,37799,5961,Low
X3,2018,North America,Silver,Hybrid,Automatic,2.4,83441,40911,1838,Low
i3,2020,Africa,White,Electric,Automatic,4.8,91577,34792,1365,Low
M5,2020,Middle East,Black,Hybrid,Manual,1.7,85314,106823,7312,High
i8,2010,North America,Red,Hybrid,Automatic,2.5,165723,91427,7618,High
i3,2014,Europe,Silver,Electric,Manual,4.6,88906,36204,3411,Low
X3,2016,Europe,Grey,Diesel,Manual,3.2,16969,52102,8504,High
X1,2012,Middle East,Grey,Diesel,Manual,3.6,185427,53009,5378,Low
i8,2018,Europe,White,Petrol,Automatic,3.8,172638,71377,2515,Low
i8,2017,South America,Red,Electric,Manual,1.7,79796,93104,2707,Low
X5,2022,South America,Black,Hybrid,Manual,1.6,103986,72840,9089,High
X6,2024,Middle East,Grey,Petrol,Automatic,4.8,65964,33325,8236,High
X6,2012,Middle East,Silver,Hybrid,Manual,2.5,166319,47376,5972,Low
M3,2024,Middle East,Black,Diesel,Automatic,2.8,161523,116430,9156,High
i8,2014,Europe,Blue,Diesel,Manual,3.9,132177,62623,8603,High
X5,2016,Asia,Red,Hybrid,Manual,2.3,173067,35708,9077,High
3 Series,2021,Africa,Grey,Electric,Automatic,4.1,93110,116013,207,Low
7 Series,2023,Asia,Red,Petrol,Automatic,3.1,26977,54820,3563,Low
i8,2013,Middle East,Silver,Hybrid,Manual,4.5,180268,36428,4889,Low
X5,2014,Middle East,Silver,Hybrid,Manual,2.5,68187,58372,4637,Low
i8,2012,Europe,White,Petrol,Manual,2.2,91582,94724,2617,Low
7 Series,2018,South America,Red,Diesel,Manual,4.4,33451,38242,3719,Low
X5,2019,North America,Silver,Hybrid,Manual,2.6,102158,40337,3041,Low
X3,2018,North America,White,Diesel,Automatic,2.9,15739,110771,897,Low
